id,giocatore,squadra_vincente,ultima_offerta,tempo_fine_asta,tempo_fine_mostra_interesse,stato,partecipanti,gia_elaborata
8,731,CyberDucks,15,2026-01-20 14:27:41.650381+00:00,,in_corso,"['AC Ciaccati', 'CyberDucks', 'FC Pontos', 'Metodo Monchi FC']",False
9,872,Diaolo Porco,26,2026-01-20 20:53:28.985165+00:00,,in_corso,"['Diaolo Porco', 'AC Ciaccati', 'FC Pontos', 'Metodo Monchi FC', 'Sborada', 'ZeroDayz FC']",False
1,234,Diaolo Porco,36,2026-01-17 16:12:59.303281+00:00,,conclusa,['Diaolo Porco'],True
