id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita
1,De Luca,Svincolato,Svincolato,Cremonese,3,Svincolato,{Pc},0,1
2,Bayo V.,Svincolato,Svincolato,Udinese,4,Svincolato,{Pc},0,1
3,Arena A.,Svincolato,Svincolato,Roma,1,Svincolato,{Pc},0,1
4,Bravo,Metodo Monchi FC,Metodo Monchi FC,Udinese,4,Primavera,{A},0,1
5,Almqvist,Svincolato,Svincolato,Parma,4,Svincolato,"{W,A}",0,1
6,Johnsen,Svincolato,Svincolato,Cremonese,4,Svincolato,{A},0,1
7,Sanabria,Svincolato,Svincolato,Cremonese,7,Svincolato,{Pc},0,1
8,Lucca,Diablitos FC,Diablitos FC,Napoli,7,Indeterminato,{Pc},16,1
9,Camarda,Diablitos FC,Diablitos FC,Lecce,7,Primavera,{Pc},0,1
10,Diao,CyberDucks,CyberDucks,Como,7,Indeterminato,"{W,A}",0,1
11,Balentien,Svincolato,Svincolato,Milan,1,Svincolato,{A},0,1
12,Frigan,Svincolato,Svincolato,Parma,1,Svincolato,{Pc},0,1
13,Njie,Svincolato,Svincolato,Torino,1,Svincolato,{A},0,1
14,Piccoli,CyberDucks,CyberDucks,Fiorentina,7,Indeterminato,{Pc},0,1
15,Immobile,FC Pontos,FC Pontos,Bologna,7,Indeterminato,{Pc},8,1
16,Kilicsoy,Diablitos FC,Diablitos FC,Cagliari,8,Primavera,{A},0,1
17,Dia,CyberDucks,CyberDucks,Lazio,8,Indeterminato,{Pc},6,1
18,Colombo,FC Sovescio,FC Sovescio,Genoa,8,Indeterminato,{Pc},30,1
19,Mosquera,Svincolato,Svincolato,Verona,9,Svincolato,{Pc},0,1
20,Zapata D.,Sborada,Sborada,Torino,9,Indeterminato,{Pc},53,1
21,Banda,FC Pontos,FC Pontos,Lecce,9,Indeterminato,"{W,A}",6,1
22,Ekhator,Svincolato,Svincolato,Genoa,9,Svincolato,{A},0,1
23,Cutrone,CyberDucks,CyberDucks,Parma,9,Indeterminato,{Pc},0,1
24,Rodriguez Je.,Diablitos FC,Diablitos FC,Como,9,Indeterminato,"{W,A}",0,1
25,Belotti,FC Pontos,FC Pontos,Cagliari,9,Indeterminato,{Pc},0,1
26,Buksa,Svincolato,Svincolato,Udinese,10,Svincolato,{Pc},0,1
27,Ngonge,Baby Reijnders,Baby Reijnders,Torino,10,Indeterminato,{A},3,1
28,Benedyczak,Svincolato,Svincolato,Parma,10,Svincolato,{A},0,1
29,Ekuban,Svincolato,Svincolato,Genoa,10,Svincolato,{A},0,1
30,N'Dri,Svincolato,Svincolato,Lecce,11,Svincolato,"{W,A}",0,1
31,Vitinha O.,Svincolato,Svincolato,Genoa,12,Svincolato,{Pc},0,1
32,Dallinga,CyberDucks,CyberDucks,Bologna,11,Indeterminato,{Pc},24,1
33,Gimenez,Metodo Monchi FC,Metodo Monchi FC,Milan,12,Indeterminato,{Pc},45,1
34,Noslin,Svincolato,Svincolato,Lazio,12,Svincolato,{A},12,1
35,Cancellieri,ZeroDayz FC,ZeroDayz FC,Lazio,12,Indeterminato,"{W,A}",1,1
36,Sulemana K.,FC Pontos,FC Pontos,Atalanta,12,Indeterminato,{A},9,1
37,Fullkrug,Svincolato,Svincolato,Milan,13,Svincolato,{Pc},0,1
38,Dybala,ZeroDayz FC,ZeroDayz FC,Roma,13,Indeterminato,{A},110,1
39,Lang,FC Pontos,FC Pontos,Napoli,13,Indeterminato,{A},66,1
40,David,Baby Reijnders,Baby Reijnders,Juventus,13,Indeterminato,{Pc},74,1
41,Addai,ZeroDayz FC,ZeroDayz FC,Como,13,Primavera,"{W,A}",0,1
42,Borrelli,Svincolato,Svincolato,Cagliari,13,Svincolato,{Pc},0,1
43,Openda,FC Sovescio,FC Sovescio,Juventus,14,Indeterminato,{Pc},53,1
44,Moreo,Svincolato,Svincolato,Pisa,14,Svincolato,{A},0,1
45,Bonny,AC Ciaccati,AC Ciaccati,Inter,14,Indeterminato,{Pc},0,1
46,Nkunku,FC Sovescio,FC Sovescio,Milan,15,Indeterminato,{A},53,1
