id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita
1,Cheddira,Svincolato,Svincolato,Sassuolo,5,Svincolato,{Pc},0,1
2,Frigan,Svincolato,Svincolato,Parma,4,Svincolato,{Pc},0,1
3,Arena A.,Svincolato,Svincolato,Roma,1,Svincolato,{Pc},0,1
4,Kilicsoy,Diablitos FC,Diablitos FC,Cagliari,5,Primavera,{A},0,1
5,Mosquera,Svincolato,Svincolato,Verona,5,Svincolato,{Pc},0,1
6,Moreo,Svincolato,Svincolato,Pisa,5,Svincolato,{A},0,1
7,Almqvist,Svincolato,Svincolato,Parma,5,Svincolato,"{W,A}",0,1
8,Ekhator,Svincolato,Svincolato,Genoa,5,Svincolato,{A},0,1
9,Aboukhlal,AC Ciaccati,AC Ciaccati,Torino,7,Indeterminato,{A},1,1
10,Bravo,Metodo Monchi FC,Metodo Monchi FC,Udinese,7,Primavera,{A},0,1
11,N'Dri,Svincolato,Svincolato,Lecce,7,Svincolato,"{W,A}",0,1
12,Esposito Se.,ZeroDayz FC,ZeroDayz FC,Cagliari,7,Indeterminato,{A},1,1
13,Bonazzoli,Svincolato,Svincolato,Cremonese,7,Svincolato,{A},0,1
14,Dominguez B.,ZeroDayz FC,ZeroDayz FC,Bologna,7,Indeterminato,"{W,A}",31,1
15,Ambrosino,Svincolato,Svincolato,Napoli,1,Svincolato,{Pc},0,1
16,Balentien,Svincolato,Svincolato,Milan,1,Svincolato,{A},0,1
17,Njie,Svincolato,Svincolato,Torino,1,Svincolato,{A},0,1
18,Skjellerup,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Pc},0,1
19,Moro L.,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Pc},0,1
20,Buksa,Svincolato,Svincolato,Udinese,8,Svincolato,{Pc},0,1
21,De Luca,Svincolato,Svincolato,Cremonese,7,Svincolato,{Pc},0,1
22,Borrelli,Svincolato,Svincolato,Cagliari,7,Svincolato,{Pc},0,1
23,Colombo,FC Sovescio,FC Sovescio,Genoa,8,Indeterminato,{Pc},30,1
24,Dallinga,CyberDucks,CyberDucks,Bologna,9,Indeterminato,{Pc},24,1
25,Stulic,Svincolato,Svincolato,Lecce,10,Svincolato,{Pc},0,1
26,Cancellieri,ZeroDayz FC,ZeroDayz FC,Lazio,10,Indeterminato,"{W,A}",1,1
