id,squadra_proponente,squadra_destinataria,giocatori_offerti,giocatori_richiesti,crediti_offerti,crediti_richiesti,messaggio,stato,data_proposta,data_risposta
2,AC Ciaccati,Diablitos FC,"[454, 27]","[176, 258]",3,23,Dai fra,annullato,2025-10-16 10:17:49.470767+00:00,
3,AC Ciaccati,FC Pontos,"[454, 27]","[254, 449]",6,8,dai fra,in_attesa,2025-10-16 10:20:15.052079+00:00,
4,AC Ciaccati,Diaolo Porco,"[166, 454]","[226, 457]",10,12,,in_attesa,2025-10-16 16:56:40.023313+00:00,
