id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita
1,Johnsen,Svincolato,Svincolato,Cremonese,3,Svincolato,{A},0,1
2,Bayo V.,Svincolato,Svincolato,Udinese,4,Svincolato,{Pc},0,1
3,Arena A.,Svincolato,Svincolato,Roma,1,Svincolato,{Pc},0,1
4,Bravo,Metodo Monchi FC,Metodo Monchi FC,Udinese,4,Primavera,{A},0,1
5,Almqvist,Svincolato,Svincolato,Parma,4,Svincolato,"{W,A}",0,1
6,Dzeko,Diaolo Porco,Diaolo Porco,Fiorentina,4,Indeterminato,{Pc},7,1
7,Luvumbo,Diablitos FC,Diablitos FC,Cagliari,4,Indeterminato,{A},16,1
8,Dominguez B.,ZeroDayz FC,ZeroDayz FC,Bologna,4,Indeterminato,"{W,A}",31,1
9,Diao,CyberDucks,CyberDucks,Como,7,Indeterminato,"{W,A}",0,1
10,Immobile,FC Pontos,FC Pontos,Bologna,6,Indeterminato,{Pc},8,1
11,Solomon,Svincolato,Svincolato,Fiorentina,8,Svincolato,"{W,A}",0,1
12,Cheddira,Svincolato,Svincolato,Sassuolo,7,Svincolato,{Pc},0,1
13,Sanabria,Svincolato,Svincolato,Cremonese,7,Svincolato,{Pc},0,1
14,Dia,CyberDucks,CyberDucks,Lazio,7,Indeterminato,{Pc},6,1
15,Gueye,ZeroDayz FC,ZeroDayz FC,Udinese,1,Primavera,{Pc},0,1
16,Balentien,Svincolato,Svincolato,Milan,1,Svincolato,{A},0,1
17,Kouamè,Svincolato,Svincolato,Fiorentina,1,Svincolato,{A},0,1
18,Frigan,Svincolato,Svincolato,Parma,1,Svincolato,{Pc},0,1
19,Skjellerup,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Pc},0,1
20,Piccoli,CyberDucks,CyberDucks,Fiorentina,7,Indeterminato,{Pc},0,1
21,Zapata D.,Sborada,Sborada,Torino,8,Indeterminato,{Pc},53,1
22,Cutrone,CyberDucks,CyberDucks,Parma,8,Indeterminato,{Pc},0,1
23,Belotti,FC Pontos,FC Pontos,Cagliari,9,Indeterminato,{Pc},0,1
24,Kilicsoy,Diablitos FC,Diablitos FC,Cagliari,9,Primavera,{A},0,1
25,Mosquera,Svincolato,Svincolato,Verona,9,Svincolato,{Pc},0,1
26,Benedyczak,Svincolato,Svincolato,Parma,9,Svincolato,{A},0,1
27,Ekhator,Svincolato,Svincolato,Genoa,9,Svincolato,{A},0,1
28,Buksa,Svincolato,Svincolato,Udinese,10,Svincolato,{Pc},0,1
29,Ngonge,Baby Reijnders,Baby Reijnders,Torino,10,Indeterminato,{A},3,1
30,Colombo,FC Sovescio,FC Sovescio,Genoa,9,Indeterminato,{Pc},30,1
31,Ekuban,Svincolato,Svincolato,Genoa,10,Svincolato,{A},0,1
32,Rodriguez Je.,Diablitos FC,Diablitos FC,Como,10,Indeterminato,"{W,A}",0,1
33,N'Dri,Svincolato,Svincolato,Lecce,11,Svincolato,"{W,A}",0,1
34,Banda,FC Pontos,FC Pontos,Lecce,11,Indeterminato,"{W,A}",6,1
35,Vitinha O.,Svincolato,Svincolato,Genoa,12,Svincolato,{Pc},0,1
36,Dallinga,CyberDucks,CyberDucks,Bologna,11,Indeterminato,{Pc},24,1
37,Lang,FC Pontos,FC Pontos,Napoli,13,Indeterminato,{A},66,1
38,Gimenez,Metodo Monchi FC,Metodo Monchi FC,Milan,12,Indeterminato,{Pc},45,1
39,Noslin,Svincolato,Svincolato,Lazio,12,Svincolato,{A},12,1
40,Sulemana K.,FC Pontos,FC Pontos,Atalanta,12,Indeterminato,{A},9,1
41,Fullkrug,Svincolato,Svincolato,Milan,13,Svincolato,{Pc},0,1
42,Openda,FC Sovescio,FC Sovescio,Juventus,13,Indeterminato,{Pc},53,1
43,Dybala,ZeroDayz FC,ZeroDayz FC,Roma,13,Indeterminato,{A},110,1
44,Cancellieri,ZeroDayz FC,ZeroDayz FC,Lazio,13,Indeterminato,"{W,A}",1,1
45,David,Baby Reijnders,Baby Reijnders,Juventus,13,Indeterminato,{Pc},74,1
46,Addai,ZeroDayz FC,ZeroDayz FC,Como,13,Primavera,"{W,A}",0,1
47,Borrelli,Svincolato,Svincolato,Cagliari,13,Svincolato,{Pc},0,1
48,Nkunku,FC Sovescio,FC Sovescio,Milan,14,Indeterminato,{A},53,1
49,Dovbyk,Sborada,Sborada,Roma,14,Indeterminato,{Pc},175,1
50,Bonny,AC Ciaccati,AC Ciaccati,Inter,14,Indeterminato,{Pc},0,1
51,Pinamonti,FC Pontos,FC Pontos,Sassuolo,15,Indeterminato,{Pc},30,1
52,Ferguson E.,AC Ciaccati,AC Ciaccati,Roma,15,Indeterminato,{Pc},0,1
53,Moreo,Svincolato,Svincolato,Pisa,15,Svincolato,{A},0,1
54,Lukaku,CyberDucks,CyberDucks,Napoli,15,Indeterminato,{Pc},36,1
