id,giocatore,squadra_vincente,ultima_offerta,tempo_fine_asta,tempo_fine_mostra_interesse,stato,partecipanti,gia_elaborata
8,731,CyberDucks,17,2026-01-21 12:49:56.026078+00:00,,in_corso,"['AC Ciaccati', 'CyberDucks', 'FC Pontos', 'Metodo Monchi FC']",False
1,234,Diaolo Porco,36,2026-01-17 16:12:59.303281+00:00,,conclusa,['Diaolo Porco'],True
9,872,Diaolo Porco,51,2026-01-21 17:46:48.019088+00:00,,in_corso,"['Diaolo Porco', 'AC Ciaccati', 'FC Pontos', 'Metodo Monchi FC', 'Sborada', 'ZeroDayz FC']",False
