id,id_fantacalcio,nome,squadra_fc,id_giocatore,aggiornato_il
4266,7347,Bowie,SAS,,2026-09-22 22:14:31.097902+00:00
4267,6956,Solet,UDI,,2026-09-22 22:14:31.097902+00:00
4268,7484,Adams A.,VEN,,2026-09-22 22:14:31.097902+00:00
4269,5172,Jones C.,INT,,2026-09-22 22:14:31.097902+00:00
4270,4896,Maldini,CAG,,2026-09-22 22:14:31.097902+00:00
4271,6151,Perrone,COM,,2026-09-22 22:14:31.097902+00:00
4272,7129,Rodriguez Je.,COM,,2026-09-22 22:14:31.097902+00:00
4273,7472,Calò,FRO,,2026-09-22 22:14:31.097902+00:00
4274,6530,Ghedjemis,FRO,,2026-09-22 22:14:31.097902+00:00
4275,6204,Kvernadze,FRO,,2026-09-22 22:14:31.097902+00:00
4276,2514,Stones,INT,,2026-09-22 22:14:31.097902+00:00
4277,6274,Diouf,INT,,2026-09-22 22:14:31.097902+00:00
4278,7436,Alajbegovic,JUV,,2026-09-22 22:14:31.097902+00:00
4279,5500,Cancellieri,LAZ,,2026-09-22 22:14:31.097902+00:00
4280,4892,Saelemaekers,MIL,,2026-09-22 22:14:31.097902+00:00
4281,4287,Lobotka,NAP,,2026-09-22 22:14:31.097902+00:00
4282,536,Politano,NAP,,2026-09-22 22:14:31.097902+00:00
4283,4317,N'Dicka,ROM,,2026-09-22 22:14:31.097902+00:00
4284,779,Cristante,ROM,,2026-09-22 22:14:31.097902+00:00
4285,6677,Adzic,SAS,,2026-09-22 22:14:31.097902+00:00
4286,5687,Vlasic,TOR,,2026-09-22 22:14:31.097902+00:00
4287,6646,Adams C.,TOR,,2026-09-22 22:14:31.097902+00:00
4288,7551,Schmid,FRO,,2026-09-22 22:14:31.097902+00:00
4289,1850,Kessiè,ATA,,2026-09-22 22:14:31.097902+00:00
4290,7625,Goncalves P.,FIO,,2026-09-22 22:14:31.097902+00:00
4291,5526,Scalvini,ATA,,2026-09-22 22:14:31.097902+00:00
4292,4734,Miranda J.,BOL,,2026-09-22 22:14:31.097902+00:00
4293,7311,Romano,CAG,,2026-09-22 22:14:31.097902+00:00
4294,2521,De Gea,FIO,,2026-09-22 22:14:31.097902+00:00
4295,6531,Jimenez A.,FIO,,2026-09-22 22:14:31.097902+00:00
4296,5750,Ostigard,GEN,,2026-09-22 22:14:31.097902+00:00
4297,5823,Baldanzi,GEN,,2026-09-22 22:14:31.097902+00:00
4298,4923,Colombo,GEN,,2026-09-22 22:14:31.097902+00:00
4299,5877,Carlos Augusto,INT,,2026-09-22 22:14:31.097902+00:00
4300,5761,Zhegrova,JUV,,2026-09-22 22:14:31.097902+00:00
4301,5672,Dia,LAZ,,2026-09-22 22:14:31.097902+00:00
4302,6556,Noslin,LAZ,,2026-09-22 22:14:31.097902+00:00
4303,5504,Coulibaly L.,LEC,,2026-09-22 22:14:31.097902+00:00
4304,4856,Chukwueze,MIL,,2026-09-22 22:14:31.097902+00:00
4305,7485,Mangas,MON,,2026-09-22 22:14:31.097902+00:00
4306,7523,Varela G.,MON,,2026-09-22 22:14:31.097902+00:00
4307,2531,Lukaku,NAP,,2026-09-22 22:14:31.097902+00:00
4308,2038,Pinamonti,LAZ,,2026-09-22 22:14:31.097902+00:00
4309,5555,Kamara H.,UDI,,2026-09-22 22:14:31.097902+00:00
4310,6229,Tourè E.,PAR,,2026-09-22 22:14:31.097902+00:00
4311,7547,Kevin Carlos,CAG,,2026-09-22 22:14:31.097902+00:00
4312,5982,Spence,INT,,2026-09-22 22:14:31.097902+00:00
4313,7600,Osmajic,GEN,,2026-09-22 22:14:31.097902+00:00
4314,133,Skorupski,BOL,,2026-09-22 22:14:31.097902+00:00
4315,6844,Rowe,ATA,,2026-09-22 22:14:31.097902+00:00
4316,4210,Mina,CAG,,2026-09-22 22:14:31.097902+00:00
4317,4870,Adopo,CAG,,2026-09-22 22:14:31.097902+00:00
4318,7414,Kaiki,COM,,2026-09-22 22:14:31.097902+00:00
4319,4359,Piccoli,BOL,,2026-09-22 22:14:31.097902+00:00
4320,6415,Palmisani,FRO,,2026-09-22 22:14:31.097902+00:00
4321,7469,Bracaglia,FRO,,2026-09-22 22:14:31.097902+00:00
4322,6238,Oyono A.,FRO,,2026-09-22 22:14:31.097902+00:00
4323,5514,Vasquez,GEN,,2026-09-22 22:14:31.097902+00:00
4324,7070,Sucic P.,INT,,2026-09-22 22:14:31.097902+00:00
4325,5876,Di Gregorio,JUV,,2026-09-22 22:14:31.097902+00:00
4326,5620,Tavares N.,LAZ,,2026-09-22 22:14:31.097902+00:00
4327,7313,Ratkov,LAZ,,2026-09-22 22:14:31.097902+00:00
4328,6989,Tiago Gabriel,LEC,,2026-09-22 22:14:31.097902+00:00
4329,572,Meret,NAP,,2026-09-22 22:14:31.097902+00:00
4330,4220,Zambo Anguissa,NAP,,2026-09-22 22:14:31.097902+00:00
4331,7223,Vergara,NAP,,2026-09-22 22:14:31.097902+00:00
4332,5862,Valeri,PAR,,2026-09-22 22:14:31.097902+00:00
4333,6190,Pisilli,ROM,,2026-09-22 22:14:31.097902+00:00
4334,2528,Matic,SAS,,2026-09-22 22:14:31.097902+00:00
4335,5844,Thorstvedt,SAS,,2026-09-22 22:14:31.097902+00:00
4336,5735,Volpato,SAS,,2026-09-22 22:14:31.097902+00:00
4337,6680,Karlstrom,UDI,,2026-09-22 22:14:31.097902+00:00
4338,5641,Chalobah T.,COM,,2026-09-22 22:14:31.097902+00:00
4339,6534,Perri,TOR,,2026-09-22 22:14:31.097902+00:00
4340,6042,Lucumì,JUV,,2026-09-22 22:14:31.097902+00:00
4341,5858,Ferguson,BOL,,2026-09-22 22:14:31.097902+00:00
4342,5298,Pobega,BOL,,2026-09-22 22:14:31.097902+00:00
4343,4436,Cambiaghi,BOL,,2026-09-22 22:14:31.097902+00:00
4344,6643,Dallinga,BOL,,2026-09-22 22:14:31.097902+00:00
4345,7274,Zè Pedro,CAG,,2026-09-22 22:14:31.097902+00:00
4346,5701,Obert,CAG,,2026-09-22 22:14:31.097902+00:00
4347,4260,Winks,CAG,,2026-09-22 22:14:31.097902+00:00
4348,7374,Mendy P.,CAG,,2026-09-22 22:14:31.097902+00:00
4349,6867,Valle,COM,,2026-09-22 22:14:31.097902+00:00
4350,5365,Dragusin,FIO,,2026-09-22 22:14:31.097902+00:00
4351,5885,Dodò,FIO,,2026-09-22 22:14:31.097902+00:00
4352,4465,Fagioli,FIO,,2026-09-22 22:14:31.097902+00:00
4353,6294,Ndour,FIO,,2026-09-22 22:14:31.097902+00:00
4354,7467,Calvani,FRO,,2026-09-22 22:14:31.097902+00:00
4355,6814,Norton-Cuffy,GEN,,2026-09-22 22:14:31.097902+00:00
4356,6669,Bonny,INT,,2026-09-22 22:14:31.097902+00:00
4357,4657,Celik,JUV,,2026-09-22 22:14:31.097902+00:00
4358,827,Locatelli,JUV,,2026-09-22 22:14:31.097902+00:00
4359,5562,Thuram K.,JUV,,2026-09-22 22:14:31.097902+00:00
4360,5685,Koopmeiners,JUV,,2026-09-22 22:14:31.097902+00:00
4361,5544,David,JUV,,2026-09-22 22:14:31.097902+00:00
4362,6320,Doekhi,LAZ,,2026-09-22 22:14:31.097902+00:00
4363,6398,Isaksen,LAZ,,2026-09-22 22:14:31.097902+00:00
4364,6593,Akinsanmiro,MON,,2026-09-22 22:14:31.097902+00:00
4365,5878,Colpani,MON,,2026-09-22 22:14:31.097902+00:00
4366,2155,Cutrone,MON,,2026-09-22 22:14:31.097902+00:00
4367,5427,Gutierrez,NAP,,2026-09-22 22:14:31.097902+00:00
4368,1852,Spinazzola,NAP,,2026-09-22 22:14:31.097902+00:00
4369,6664,Delprato,PAR,,2026-09-22 22:14:31.097902+00:00
