id,Giocatore_Supa,Giocatore_TM,detentore_cartellino,Club_Supa,Club_TM,name_clean,nome_clean
376,Acerbi,Francesco Acerbi,ZeroDayz FC,Inter,Football Club Internazionale Milano S.p.A.,francesco acerbi,acerbi
334,Van Der Brempt,Ignace Van der Brempt,Svincolato,Como,Calcio Como,ignace van der brempt,van der brempt
891,Edmundsson,Andrias Edmundsson,Svincolato,Verona,Verona Hellas Football Club,andrias edmundsson,edmundsson
275,Siebert,Jamil Siebert,Svincolato,Lecce,Unione Sportiva Lecce,jamil siebert,siebert
385,Ismajli,Ardian Ismajli,Metodo Monchi FC,Torino,Torino Calcio,ardian ismajli,ismajli
389,Caracciolo A.,Antonio Caracciolo,Svincolato,Pisa,Pisa Sporting Club,antonio caracciolo,caracciolo a.
353,Smolcic I.,Ivan Smolcic,Svincolato,Como,Calcio Como,ivan smolcic,smolcic i.
397,Bellanova,Raoul Bellanova,Metodo Monchi FC,Atalanta,Atalanta Bergamasca Calcio S.p.a.,raoul bellanova,bellanova
396,Lucumì,Jhon Lucumí,FC Sovescio,Bologna,Bologna Football Club 1909,jhon lucumi,lucumi
895,Garcia U.,Ulisses Garcia,Svincolato,Sassuolo,Unione Sportiva Sassuolo Calcio,ulisses garcia,garcia u.
409,Zortea,Nadir Zortea,Baby Reijnders,Bologna,Bologna Football Club 1909,nadir zortea,zortea
411,Mina,Yerry Mina,FC Pontos,Cagliari,Cagliari Calcio,yerry mina,mina
558,Alli,Dele Alli,Svincolato,Como,Calcio Como,dele alli,alli
630,Kovalenko,Viktor Kovalenko,Svincolato,Empoli,FC Empoli,viktor kovalenko,kovalenko
400,Heggem,Torbjørn Heggem,Metodo Monchi FC,Bologna,Bologna Football Club 1909,torbjorn heggem,heggem
404,Gabbia,Matteo Gabbia,Diablitos FC,Milan,Associazione Calcio Milan,matteo gabbia,gabbia
401,Idzes,Jay Idzes,Metodo Monchi FC,Sassuolo,Unione Sportiva Sassuolo Calcio,jay idzes,idzes
390,Tomori,Fikayo Tomori,Diablitos FC,Milan,Associazione Calcio Milan,fikayo tomori,tomori
391,Gallo,Antonino Gallo,FC Sovescio,Lecce,Unione Sportiva Lecce,antonino gallo,gallo
425,Tiago Gabriel,Tiago Gabriel,AC Ciaccati,Lecce,Unione Sportiva Lecce,tiago gabriel,tiago gabriel
18,Bravo,Iker Bravo,Metodo Monchi FC,Udinese,Udinese Calcio,iker bravo,bravo
840,Coman F.,Florinel Coman,Svincolato,Cagliari,Cagliari Calcio,florinel coman,coman f.
729,Carboni A.,Andrea Carboni,Svincolato,Monza,AC Monza,andrea carboni,carboni a.
811,Wieteska,Mateusz Wieteska,Svincolato,Cagliari,Cagliari Calcio,mateusz wieteska,wieteska
673,Sambia,Junior Sambia,Svincolato,Empoli,FC Empoli,junior sambia,sambia
