id,Giocatore_Supa,Giocatore_TM,detentore_cartellino,Club_Supa,Club_TM,name_clean,nome_clean
309,Goglichidze,,AC Ciaccati,Udinese,,,goglichidze
747,De Luca,,Svincolato,Cremonese,,,de luca
816,Natan,,Svincolato,Napoli,,,natan
785,El Azzouzi,,Svincolato,Bologna,,,el azzouzi
607,Giannetti L.,,Svincolato,Udinese,,,giannetti l.
30,Ngonge,,Baby Reijnders,Torino,,,ngonge
776,Okafor,,Svincolato,Milan,,,okafor
534,Luvumbo,,Diablitos FC,Cagliari,,,luvumbo
738,Palomino,,Svincolato,Cagliari,,,palomino
623,Chiesa,,Svincolato,Juventus,,,chiesa
753,Daniliuc,,Svincolato,Verona,,,daniliuc
867,Pierini,,Svincolato,Sassuolo,,,pierini
763,Rebic,,Svincolato,Lecce,,,rebic
880,Tchoca,,Svincolato,Torino,,,tchoca
311,Rui Modesto,,Svincolato,Udinese,,,rui modesto
91,Cuenca H.,,Svincolato,Genoa,,,cuenca h.
686,Tourè E.,,FC Sovescio,Atalanta,,,toure e.
13,Johnsen,,Svincolato,Cremonese,,,johnsen
314,Mateus Lusuardi,,Svincolato,Pisa,,,mateus lusuardi
831,Tengstedt,,Svincolato,Verona,,,tengstedt
486,Mandas,,Baby Reijnders,Lazio,,,mandas
668,Mitrovic S.,,CyberDucks,Verona,,,mitrovic s.
288,Odenthal,,Svincolato,Sassuolo,,,odenthal
677,Jajalo,,Svincolato,Venezia,,,jajalo
4,Skjellerup,,Svincolato,Sassuolo,,,skjellerup
422,Posch,,ZeroDayz FC,Como,,,posch
245,Vazquez,,Svincolato,Cremonese,,,vazquez
837,Dawidowicz,,Svincolato,Verona,,,dawidowicz
809,Pelmard,,Svincolato,Lecce,,,pelmard
664,Dahl,,Svincolato,Roma,,,dahl
671,Bijol,,Svincolato,Udinese,,,bijol
117,Gronbaek,,Svincolato,Genoa,,,gronbaek
123,Sarmiento J.,,Svincolato,Cremonese,,,sarmiento j.
133,Asllani,,Sborada,Torino,,,asllani
634,Bertinato,,Svincolato,Venezia,,,bertinato
695,Pohjanpalo,,Svincolato,Venezia,,,pohjanpalo
271,Palacios T.,,Svincolato,Inter,,,palacios t.
609,Retegui,,Svincolato,Atalanta,,,retegui
15,Immobile,,Svincolato,Bologna,,,immobile
780,Urbanski,,Svincolato,Monza,,,urbanski
862,Ghion,,Svincolato,Sassuolo,,,ghion
46,Lang,,FC Pontos,Napoli,,,lang
562,Joao Felix,,Svincolato,Milan,,,joao felix
800,Erlic,,Svincolato,Bologna,,,erlic
588,Gourna-Douath,,Svincolato,Roma,,,gourna-douath
626,Mutandwa,,Svincolato,Cagliari,,,mutandwa
755,Moreno M.,,Svincolato,Fiorentina,,,moreno m.
653,Andersen M.K.,,Svincolato,Venezia,,,andersen m.k.
611,Joronen,,Svincolato,Venezia,,,joronen
711,Taremi,,Svincolato,Inter,,,taremi
635,Lind,,Svincolato,Pisa,,,lind
319,Viti,,Svincolato,Fiorentina,,,viti
734,Vogliacco,,Svincolato,Genoa,,,vogliacco
660,Quagliata,,Svincolato,Cremonese,,,quagliata
92,Rog,,Svincolato,Cagliari,,,rog
725,Lapadula,,Svincolato,Cagliari,,,lapadula
599,Arnautovic,,Svincolato,Inter,,,arnautovic
11,Ambrosino,,Svincolato,Napoli,,,ambrosino
290,Mbambi,,Svincolato,Pisa,,,mbambi
720,Perez N.,,Svincolato,Udinese,,,perez n.
604,Abraham,,Baby Reijnders,Milan,,,abraham
638,Coppola D.,,Svincolato,Verona,,,coppola d.
587,Engelhardt,,Svincolato,Como,,,engelhardt
289,Esteves T.,,Svincolato,Pisa,,,esteves t.
825,Stolz,,Svincolato,Genoa,,,stolz
822,Arena,,Svincolato,Pisa,,,arena
843,Guendouzi,,Svincolato,Lazio,,,guendouzi
641,Okou,,Svincolato,Verona,,,okou
797,Sazonov,,Svincolato,Empoli,,,sazonov
705,Salama,,Svincolato,Torino,,,salama
119,Richardson,,Svincolato,Fiorentina,,,richardson
699,Ronaldo,,Svincolato,Milan,,,ronaldo
792,Balogh,,Svincolato,Parma,,,balogh
748,Condè,,Svincolato,Venezia,,,conde
838,Linetty,,Svincolato,Torino,,,linetty
97,Stanciu,,Baby Reijnders,Genoa,,,stanciu
591,Brorsson,,Svincolato,Monza,,,brorsson
832,Duda,,Svincolato,Verona,,,duda
575,Listkowski,,Svincolato,Lecce,,,listkowski
762,Ekong,,Svincolato,Empoli,,,ekong
594,Dorgu,,Svincolato,Lecce,,,dorgu
844,Cajuste,,Svincolato,Napoli,,,cajuste
703,Pickel,,Svincolato,Cremonese,,,pickel
642,Ruggeri,,Svincolato,Atalanta,,,ruggeri
790,Ndoye,,Svincolato,Bologna,,,ndoye
709,Nasti,,Svincolato,Cremonese,,,nasti
473,Popa,,Svincolato,Torino,,,popa
853,Rocha Livramento,,Svincolato,Verona,,,rocha livramento
29,Benedyczak,,Svincolato,Parma,,,benedyczak
859,Osimhen,,Svincolato,Napoli,,,osimhen
639,Gendrey,,Svincolato,Lecce,,,gendrey
852,Tchatchoua,,Svincolato,Verona,,,tchatchoua
849,Weah,,Metodo Monchi FC,Juventus,,,weah
717,Ankeye,,Svincolato,Genoa,,,ankeye
675,Sanchez,,Svincolato,Udinese,,,sanchez
578,Hernandez T.,,Svincolato,Milan,,,hernandez t.
742,Brenner,,Svincolato,Udinese,,,brenner
854,Radu I.,,Svincolato,Venezia,,,radu i.
680,Messi,,Svincolato,Udinese,,,messi
592,Cragno,,Svincolato,Monza,,,cragno
827,Jovic,,Svincolato,Milan,,,jovic
778,Mbappe,,Svincolato,Verona,,,mbappe
644,Danilo,,Svincolato,Juventus,,,danilo
689,Bianco,,FC Sovescio,Fiorentina,,,bianco
798,Mbangula,,Svincolato,Juventus,,,mbangula
693,Alberto Costa,,Svincolato,Juventus,,,alberto costa
631,Salah-Eddine,,Svincolato,Roma,,,salah-eddine
845,Douglas Luiz,,AC Ciaccati,Juventus,,,douglas luiz
791,Veiga R.,,Svincolato,Juventus,,,veiga r.
6,Buffon L.,,Svincolato,Pisa,,,buffon l.
601,Alvarez A.,,Svincolato,Sassuolo,,,alvarez a.
860,Stojanovic,,Svincolato,Empoli,,,stojanovic
98,Valoti,,Svincolato,Cremonese,,,valoti
801,Abankwah,,Svincolato,Udinese,,,abankwah
566,Santiago,,Svincolato,Verona,,,santiago
732,Vignato S.,,Sborada,Monza,,,vignato s.
565,Fila,,Svincolato,Venezia,,,fila
679,Makoumbou,,Svincolato,Cagliari,,,makoumbou
646,Veroli,,Svincolato,Cagliari,,,veroli
549,Guilbert,,Svincolato,Lecce,,,guilbert
313,Masina,,Svincolato,Torino,,,masina
636,Tavsan,,Svincolato,Verona,,,tavsan
561,Sosa B.,,Svincolato,Torino,,,sosa b.
