id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita
1,Ambrosino,Svincolato,Svincolato,Napoli,2,Svincolato,{Pc},0,1
2,Moumbagna,Svincolato,Svincolato,Cremonese,2,Svincolato,{Pc},0,1
3,Gueye,ZeroDayz FC,ZeroDayz FC,Udinese,2,Primavera,{Pc},0,1
4,Pavoletti,Svincolato,Svincolato,Cagliari,1,Svincolato,{Pc},0,1
5,Milik,Svincolato,Svincolato,Juventus,1,Svincolato,{Pc},0,1
6,Buffon L.,Svincolato,Svincolato,Pisa,1,Svincolato,{A},0,1
7,Skjellerup,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Pc},0,1
8,Njie,Svincolato,Svincolato,Torino,1,Svincolato,{A},0,1
9,Frigan,Svincolato,Svincolato,Parma,1,Svincolato,{Pc},0,1
10,Balentien,Svincolato,Svincolato,Milan,1,Svincolato,{A},0,1
11,Buksa,Svincolato,Svincolato,Udinese,10,Svincolato,{Pc},0,1
12,Belotti,FC Pontos,FC Pontos,Cagliari,9,Indeterminato,{Pc},0,1
13,Rodriguez Je.,Diablitos FC,Diablitos FC,Como,9,Indeterminato,"{W,A}",0,1
14,Cutrone,CyberDucks,CyberDucks,Parma,9,Indeterminato,{Pc},0,1
15,Ekhator,Svincolato,Svincolato,Genoa,9,Svincolato,{A},0,1
16,Sanabria,Svincolato,Svincolato,Cremonese,7,Svincolato,{Pc},0,1
17,Cheddira,Svincolato,Svincolato,Sassuolo,7,Svincolato,{Pc},0,1
18,Morata,Baby Reijnders,Baby Reijnders,Como,6,Indeterminato,{Pc},0,1
19,Stulic,Svincolato,Svincolato,Lecce,6,Svincolato,{Pc},0,1
20,Dominguez B.,ZeroDayz FC,ZeroDayz FC,Bologna,5,Indeterminato,"{W,A}",31,1
21,Banda,FC Pontos,FC Pontos,Lecce,9,Indeterminato,"{W,A}",6,1
22,Zapata D.,Sborada,Sborada,Torino,9,Indeterminato,{Pc},53,1
23,Mosquera,Svincolato,Svincolato,Verona,9,Svincolato,{Pc},0,1
24,Colombo,FC Sovescio,FC Sovescio,Genoa,8,Indeterminato,{Pc},30,1
25,Dia,CyberDucks,CyberDucks,Lazio,8,Indeterminato,{Pc},6,1
26,Kilicsoy,Diablitos FC,Diablitos FC,Cagliari,8,Primavera,{A},0,1
27,Immobile,FC Pontos,FC Pontos,Bologna,7,Indeterminato,{Pc},8,1
28,Piccoli,CyberDucks,CyberDucks,Fiorentina,7,Indeterminato,{Pc},0,1
29,Diao,CyberDucks,CyberDucks,Como,7,Indeterminato,"{W,A}",0,1
30,Camarda,Diablitos FC,Diablitos FC,Lecce,7,Primavera,{Pc},0,1
31,Lucca,Diablitos FC,Diablitos FC,Napoli,7,Indeterminato,{Pc},16,1
32,Openda,FC Sovescio,FC Sovescio,Juventus,14,Indeterminato,{Pc},53,1
33,Borrelli,Svincolato,Svincolato,Cagliari,13,Svincolato,{Pc},0,1
34,Addai,ZeroDayz FC,ZeroDayz FC,Como,13,Primavera,"{W,A}",0,1
35,David,Baby Reijnders,Baby Reijnders,Juventus,13,Indeterminato,{Pc},74,1
36,Lang,FC Pontos,FC Pontos,Napoli,13,Indeterminato,{A},66,1
37,Dybala,ZeroDayz FC,ZeroDayz FC,Roma,13,Indeterminato,{A},110,1
38,Sulemana K.,FC Pontos,FC Pontos,Atalanta,12,Indeterminato,{A},9,1
39,Cancellieri,ZeroDayz FC,ZeroDayz FC,Lazio,12,Indeterminato,"{W,A}",1,1
40,Noslin,Svincolato,Svincolato,Lazio,12,Svincolato,{A},12,1
41,Gimenez,Metodo Monchi FC,Metodo Monchi FC,Milan,12,Indeterminato,{Pc},45,1
42,Dallinga,CyberDucks,CyberDucks,Bologna,11,Indeterminato,{Pc},24,1
43,Vitinha O.,Svincolato,Svincolato,Genoa,12,Svincolato,{Pc},0,1
44,N'Dri,Svincolato,Svincolato,Lecce,11,Svincolato,"{W,A}",0,1
45,Ekuban,Svincolato,Svincolato,Genoa,10,Svincolato,{A},0,1
46,Benedyczak,Svincolato,Svincolato,Parma,10,Svincolato,{A},0,1
47,Ngonge,Baby Reijnders,Baby Reijnders,Torino,10,Indeterminato,{A},3,1
48,Adams C.,FC Sovescio,FC Sovescio,Torino,18,Indeterminato,{A},30,1
49,Giovane,Sborada,Sborada,Verona,18,Indeterminato,{A},1,1
50,Esposito Se.,ZeroDayz FC,ZeroDayz FC,Cagliari,17,Indeterminato,{A},1,1
51,Orban G.,Sborada,Sborada,Verona,17,Indeterminato,{Pc},5,1
52,De Ketelaere,Metodo Monchi FC,Metodo Monchi FC,Atalanta,16,Indeterminato,{A},70,1
53,Lookman,FC Pontos,FC Pontos,Atalanta,16,Indeterminato,{A},107,1
54,Esposito F.P.,Sborada,Sborada,Inter,16,Indeterminato,{Pc},0,1
55,Pinamonti,FC Pontos,FC Pontos,Sassuolo,16,Indeterminato,{Pc},30,1
56,Nzola,Svincolato,Svincolato,Pisa,16,Svincolato,{Pc},0,1
57,Krstovic,Metodo Monchi FC,Metodo Monchi FC,Atalanta,15,Indeterminato,{Pc},3,1
58,Lukaku,CyberDucks,CyberDucks,Napoli,15,Indeterminato,{Pc},36,1
59,Dovbyk,Sborada,Sborada,Roma,15,Indeterminato,{Pc},175,1
60,Ferguson E.,AC Ciaccati,AC Ciaccati,Roma,15,Indeterminato,{Pc},0,1
61,Nkunku,FC Sovescio,FC Sovescio,Milan,15,Indeterminato,{A},53,1
62,Bonny,AC Ciaccati,AC Ciaccati,Inter,14,Indeterminato,{Pc},0,1
63,Moreo,Svincolato,Svincolato,Pisa,14,Svincolato,{A},0,1
64,Hojlund,AC Ciaccati,AC Ciaccati,Napoli,27,Indeterminato,{Pc},70,1
65,Soulè,Metodo Monchi FC,Metodo Monchi FC,Roma,25,Indeterminato,{A},67,1
66,Castro S.,Diablitos FC,Diablitos FC,Bologna,23,Indeterminato,{Pc},0,1
67,Berardi,Metodo Monchi FC,Metodo Monchi FC,Sassuolo,23,Indeterminato,{A},56,1
68,Davis K.,Svincolato,Svincolato,Udinese,22,Svincolato,{Pc},0,1
69,Scamacca,Diablitos FC,Diablitos FC,Atalanta,21,Indeterminato,{Pc},11,1
70,Pellegrino M.,Sborada,Sborada,Parma,20,Indeterminato,{Pc},1,1
71,Laurientè,CyberDucks,CyberDucks,Sassuolo,20,Indeterminato,{A},23,1
72,Vardy,ZeroDayz FC,ZeroDayz FC,Cremonese,20,Indeterminato,{Pc},1,1
73,Douvikas,Svincolato,Svincolato,Como,18,Svincolato,{Pc},0,1
74,Castellanos,Diaolo Porco,Diaolo Porco,Lazio,19,Indeterminato,{Pc},36,1
75,Cambiaghi,Metodo Monchi FC,Metodo Monchi FC,Bologna,18,Indeterminato,{A},0,1
76,Bonazzoli,Svincolato,Svincolato,Cremonese,18,Svincolato,{A},0,1
77,Kean,Diaolo Porco,Diaolo Porco,Fiorentina,18,Indeterminato,{Pc},70,1
78,Vlahovic,AC Ciaccati,AC Ciaccati,Juventus,18,Indeterminato,{Pc},190,1
79,Simeone,Svincolato,Svincolato,Torino,17,Svincolato,{Pc},0,1
80,Rafia,Svincolato,Svincolato,Lecce,1,Svincolato,"{C,T}",0,1
81,Marchwinski,Svincolato,Svincolato,Lecce,1,Svincolato,{T},0,1
82,Lipani,Baby Reijnders,Baby Reijnders,Sassuolo,1,Primavera,"{M,C}",0,1
83,Santiago,Svincolato,Svincolato,Verona,1,Svincolato,{C},0,1
84,Kastanos,Baby Reijnders,Baby Reijnders,Verona,1,Indeterminato,"{C,T}",1,1
85,Suslov,Svincolato,Svincolato,Verona,1,Svincolato,"{W,T}",0,1
86,Miller L.,Sborada,Sborada,Udinese,1,Primavera,"{M,C}",0,1
87,Rog,Svincolato,Svincolato,Cagliari,1,Svincolato,"{M,C}",0,1
88,Ilkhan,Svincolato,Svincolato,Torino,1,Svincolato,"{C,T}",0,1
89,Cuenca H.,Svincolato,Svincolato,Genoa,1,Svincolato,"{W,T}",0,1
90,Vergara,Svincolato,Svincolato,Napoli,1,Svincolato,"{W,T}",0,1
91,Cremaschi,Svincolato,Svincolato,Parma,1,Svincolato,{C},0,1
92,Martinez L.,FC Sovescio,FC Sovescio,Inter,33,Indeterminato,{Pc},127,1
93,Yildiz,Diablitos FC,Diablitos FC,Juventus,31,Indeterminato,{A},46,1
94,Thuram,ZeroDayz FC,ZeroDayz FC,Inter,28,Indeterminato,{Pc},111,1
95,Leao,Diaolo Porco,Diaolo Porco,Milan,27,Indeterminato,{A},107,1
96,Ordonez C.,Metodo Monchi FC,Metodo Monchi FC,Parma,2,Primavera,"{M,C}",0,1
97,Hernani,FC Pontos,FC Pontos,Parma,2,Indeterminato,{C},1,1
98,Hojholt,Svincolato,Svincolato,Pisa,2,Svincolato,"{M,C}",0,1
99,Boloca,Svincolato,Svincolato,Sassuolo,2,Svincolato,"{M,C}",0,1
100,Anjorin,AC Ciaccati,AC Ciaccati,Torino,2,Indeterminato,"{C,T}",1,1
101,Zarraga,Svincolato,Svincolato,Udinese,2,Svincolato,"{M,C}",0,1
102,Harroui,Baby Reijnders,Baby Reijnders,Verona,2,Indeterminato,"{W,T}",3,1
103,Adzic,Metodo Monchi FC,Metodo Monchi FC,Juventus,2,Primavera,"{C,T}",0,1
104,Fini,Svincolato,Svincolato,Genoa,2,Svincolato,"{E,W}",0,1
105,Sala A.,Svincolato,Svincolato,Lecce,2,Svincolato,{C},0,1
106,Onana J.,Svincolato,Svincolato,Genoa,2,Svincolato,"{M,C}",0,1
107,Cornet,Svincolato,Svincolato,Genoa,2,Svincolato,{W},0,1
108,Sulemana I.,Svincolato,Svincolato,Bologna,1,Svincolato,"{M,C}",0,1
109,Liteta,Svincolato,Svincolato,Cagliari,1,Svincolato,"{M,C}",0,1
110,Valoti,Svincolato,Svincolato,Cremonese,1,Svincolato,"{C,T}",0,1
111,Venturino,Svincolato,Svincolato,Genoa,1,Svincolato,{W},0,1
112,Kaba,Svincolato,Svincolato,Lecce,3,Svincolato,"{M,C}",0,1
113,Vural,Svincolato,Svincolato,Pisa,3,Svincolato,{C},0,1
114,Pisilli,FC Sovescio,FC Sovescio,Roma,3,Primavera,{C},0,1
115,Iannoni,Svincolato,Svincolato,Sassuolo,3,Svincolato,{C},0,1
116,Diouf,Svincolato,Svincolato,Inter,3,Svincolato,{C},0,1
117,Vranckx,FC Sovescio,FC Sovescio,Sassuolo,3,Indeterminato,"{M,C}",1,1
118,Stengs,Svincolato,Svincolato,Pisa,3,Svincolato,"{W,T}",0,1
119,Al-Musrati,Svincolato,Svincolato,Verona,3,Svincolato,"{M,C}",0,1
120,Sarmiento J.,Svincolato,Svincolato,Cremonese,3,Svincolato,"{W,T}",0,1
121,Akpa Akpro,Svincolato,Svincolato,Verona,3,Svincolato,"{M,C}",0,1
122,Sergi Roberto,Svincolato,Svincolato,Como,2,Svincolato,"{M,C}",0,1
123,Richardson,Svincolato,Svincolato,Fiorentina,2,Svincolato,"{M,C}",0,1
124,Sabiri,Svincolato,Svincolato,Fiorentina,2,Svincolato,{T},0,1
125,Stanciu,Baby Reijnders,Baby Reijnders,Genoa,2,Indeterminato,"{C,T}",8,1
126,Pierret,Svincolato,Svincolato,Lecce,2,Svincolato,"{M,C}",0,1
127,Helgason,Svincolato,Svincolato,Lecce,2,Svincolato,"{C,T}",0,1
128,Sohm,ZeroDayz FC,CyberDucks,Fiorentina,4,Fanta-Prestito,{C},2,1
129,Piccinini G.,Svincolato,Svincolato,Pisa,4,Svincolato,"{E,M}",0,1
130,Marin M.,Svincolato,Svincolato,Pisa,4,Svincolato,"{M,C}",0,1
131,Ilic,FC Sovescio,FC Sovescio,Torino,4,Indeterminato,{C},10,1
132,Lovric,Diaolo Porco,Diaolo Porco,Udinese,4,Indeterminato,{C},4,1
133,Niasse,Svincolato,Svincolato,Verona,4,Svincolato,"{M,C}",0,1
134,Mazzitelli,Svincolato,Svincolato,Cagliari,4,Svincolato,"{M,C}",0,1
135,Jashari,FC Sovescio,FC Sovescio,Milan,4,Indeterminato,{C},32,1
136,Nicolussi Caviglia,Metodo Monchi FC,Metodo Monchi FC,Fiorentina,4,Indeterminato,"{M,C}",1,1
137,Maldini,Diablitos FC,Diablitos FC,Atalanta,3,Indeterminato,"{T,A}",13,1
138,Collocolo,FC Pontos,FC Pontos,Cremonese,3,Indeterminato,"{M,C}",1,1
139,Messias,Svincolato,Svincolato,Genoa,3,Svincolato,"{C,W}",0,1
140,Gronbaek,Diablitos FC,Diablitos FC,Genoa,3,Indeterminato,"{W,T}",16,1
141,Asllani,Diaolo Porco,Sborada,Torino,3,Fanta-Prestito,"{M,C}",4,1
142,Miretti,FC Pontos,Diablitos FC,Juventus,3,Fanta-Prestito,"{C,T}",0,1
143,Belahyane,Svincolato,Svincolato,Lazio,3,Svincolato,"{M,C}",0,1
144,Ramadani,ZeroDayz FC,ZeroDayz FC,Lecce,5,Indeterminato,"{M,C}",0,1
145,Musah,Svincolato,Svincolato,Atalanta,5,Svincolato,"{C,W}",0,1
146,Ondrejka,Svincolato,Svincolato,Parma,4,Svincolato,"{W,A}",0,1
147,Tameze,Svincolato,Svincolato,Torino,5,Svincolato,"{M,C}",0,1
148,Gineitis,CyberDucks,CyberDucks,Torino,5,Primavera,{C},0,1
149,Casadei,Sborada,Sborada,Torino,5,Indeterminato,"{C,T}",23,1
150,Oristanio,Metodo Monchi FC,Metodo Monchi FC,Parma,5,Indeterminato,"{W,T,A}",0,1
151,Elmas,ZeroDayz FC,ZeroDayz FC,Napoli,5,Indeterminato,"{W,T}",9,1
152,Grassi,Svincolato,Svincolato,Cremonese,4,Svincolato,"{M,C}",0,1
153,Fazzini,CyberDucks,CyberDucks,Fiorentina,4,Indeterminato,"{C,T}",0,1
154,Carboni V.,Metodo Monchi FC,Metodo Monchi FC,Genoa,4,Primavera,"{T,A}",0,1
155,Rovella,Diaolo Porco,Diaolo Porco,Lazio,4,Indeterminato,"{M,C}",0,1
156,Dele-Bashiru,FC Sovescio,AC Ciaccati,Lazio,4,Fanta-Prestito,"{C,T}",1,1
157,Maleh,Svincolato,Svincolato,Lecce,4,Svincolato,"{M,C}",0,1
158,Tete Morente,Svincolato,Svincolato,Lecce,4,Svincolato,{W},0,1
159,Estevez,Svincolato,Svincolato,Parma,4,Svincolato,"{M,C}",0,1
160,Fagioli,Metodo Monchi FC,Metodo Monchi FC,Fiorentina,6,Indeterminato,{C},0,1
161,Luis Henrique,Svincolato,Svincolato,Inter,6,Svincolato,"{E,W}",0,1
162,Mkhitaryan,Diaolo Porco,Diaolo Porco,Inter,6,Indeterminato,"{C,T}",11,1
163,Vecino,Svincolato,Svincolato,Lazio,6,Svincolato,"{M,C}",0,1
164,Zerbin,Svincolato,Svincolato,Cremonese,6,Svincolato,"{E,W}",0,1
165,Lobotka,Sborada,Sborada,Napoli,7,Indeterminato,"{M,C}",0,1
166,Keita M.,CyberDucks,ZeroDayz FC,Parma,6,Fanta-Prestito,"{M,C}",1,1
167,Tramoni M.,Sborada,Sborada,Pisa,6,Indeterminato,"{W,T}",10,1
168,El Aynaoui,ZeroDayz FC,ZeroDayz FC,Roma,6,Indeterminato,"{M,C}",16,1
169,El Shaarawy,Svincolato,Svincolato,Roma,6,Svincolato,{W},0,1
170,Gagliardini,Svincolato,Svincolato,Verona,6,Svincolato,"{M,C}",0,1
171,Aebischer,ZeroDayz FC,ZeroDayz FC,Pisa,5,Indeterminato,{C},5,1
172,Adopo,Svincolato,Svincolato,Cagliari,5,Svincolato,"{M,C}",0,1
173,Masini,Metodo Monchi FC,Metodo Monchi FC,Genoa,5,Indeterminato,"{M,C}",1,1
174,Frattesi,Metodo Monchi FC,Metodo Monchi FC,Inter,5,Indeterminato,"{C,T}",16,1
175,Koopmeiners,CyberDucks,CyberDucks,Juventus,5,Indeterminato,"{C,T}",55,1
176,Rowe,Diablitos FC,Diablitos FC,Bologna,8,Indeterminato,"{W,T}",35,1
177,De Roon,Sborada,Sborada,Atalanta,7,Indeterminato,"{M,C}",11,1
178,Brescianini,Baby Reijnders,Baby Reijnders,Atalanta,7,Indeterminato,"{C,T}",0,1
179,Freuler,CyberDucks,CyberDucks,Bologna,7,Indeterminato,"{M,C}",7,1
180,Bernardeschi,Diablitos FC,Diablitos FC,Bologna,6,Indeterminato,"{W,A}",1,1
181,Deiola,Svincolato,Svincolato,Cagliari,7,Svincolato,"{M,C}",0,1
182,Prati,Diaolo Porco,Diaolo Porco,Cagliari,7,Indeterminato,"{M,C}",0,1
183,Baturina,ZeroDayz FC,ZeroDayz FC,Como,7,Indeterminato,{T},33,1
184,Frendrup,ZeroDayz FC,ZeroDayz FC,Genoa,7,Indeterminato,"{M,C}",17,1
185,Bondo,FC Sovescio,FC Sovescio,Cremonese,7,Indeterminato,"{M,C}",0,1
186,Baldanzi,FC Sovescio,FC Sovescio,Roma,7,Indeterminato,"{T,A}",0,1
187,Sorensen O.,Svincolato,Svincolato,Parma,7,Svincolato,{C},0,1
188,Lorran,FC Pontos,FC Pontos,Pisa,7,Primavera,{T},0,1
189,Fabbian,CyberDucks,CyberDucks,Bologna,6,Indeterminato,"{C,T}",36,1
190,Ferguson,Diablitos FC,Diablitos FC,Bologna,6,Indeterminato,"{C,T}",11,1
191,Ndour,Sborada,Sborada,Fiorentina,6,Indeterminato,"{M,C}",0,1
192,Tourè I.,ZeroDayz FC,ZeroDayz FC,Pisa,10,Indeterminato,"{E,M}",1,1
193,Thorstvedt,AC Ciaccati,AC Ciaccati,Sassuolo,10,Indeterminato,"{C,T}",15,1
194,Zhegrova,Diablitos FC,Diablitos FC,Juventus,10,Indeterminato,{W},50,1
195,Ederson D.S.,Svincolato,Svincolato,Atalanta,9,Svincolato,"{M,C}",0,1
196,Moro N.,Svincolato,Svincolato,Bologna,9,Svincolato,"{M,C}",0,1
197,McKennie,Diablitos FC,Diablitos FC,Juventus,9,Indeterminato,"{M,C}",1,1
198,Akinsanmiro,Svincolato,Svincolato,Pisa,9,Svincolato,"{C,T}",0,1
199,Leris,Svincolato,Svincolato,Pisa,9,Svincolato,{W},0,1
200,Karlstrom,AC Ciaccati,AC Ciaccati,Udinese,9,Indeterminato,"{M,C}",1,1
201,Payero,Svincolato,Svincolato,Cremonese,9,Svincolato,{C},0,1
202,Ekkelenkamp,AC Ciaccati,AC Ciaccati,Udinese,9,Indeterminato,"{C,T}",2,1
203,Bernede,Svincolato,Svincolato,Verona,9,Svincolato,{C},0,1
204,Piotrowski,Svincolato,Svincolato,Udinese,9,Svincolato,{C},0,1
205,Pierotti,AC Ciaccati,AC Ciaccati,Lecce,8,Indeterminato,"{W,A}",1,1
206,Gilmour,Svincolato,Svincolato,Napoli,8,Svincolato,"{M,C}",0,1
207,Bailey,AC Ciaccati,AC Ciaccati,Roma,5,Indeterminato,"{W,A}",25,1
208,Pasalic,ZeroDayz FC,ZeroDayz FC,Atalanta,12,Indeterminato,"{C,T}",25,1
209,Pobega,Svincolato,Svincolato,Bologna,12,Svincolato,"{M,C}",0,1
210,Locatelli,Baby Reijnders,Baby Reijnders,Juventus,12,Indeterminato,"{M,C}",3,1
211,Cataldi,Diaolo Porco,Diaolo Porco,Lazio,12,Indeterminato,"{M,C}",1,1
212,Cristante,Diaolo Porco,Sborada,Roma,12,Fanta-Prestito,"{M,C}",1,1
213,Sottil,Svincolato,Svincolato,Lecce,11,Svincolato,"{W,A}",0,1
214,Malinovskyi,Svincolato,Svincolato,Genoa,11,Svincolato,"{C,T}",0,1
215,Kostic,Baby Reijnders,Baby Reijnders,Juventus,11,Indeterminato,"{E,W}",1,1
216,Fofana Y.,CyberDucks,CyberDucks,Milan,11,Indeterminato,"{M,C}",12,1
217,Fadera,Svincolato,Svincolato,Sassuolo,11,Svincolato,{W},0,1
218,Matic,Svincolato,Svincolato,Sassuolo,11,Svincolato,"{M,C}",0,1
219,Folorunsho,Sborada,Sborada,Cagliari,10,Indeterminato,"{C,T}",4,1
220,Caqueret,Diaolo Porco,Diaolo Porco,Como,10,Indeterminato,"{C,T}",6,1
221,Da Cunha,AC Ciaccati,AC Ciaccati,Como,10,Indeterminato,"{C,W,T}",14,1
222,Ellertsson,AC Ciaccati,AC Ciaccati,Genoa,10,Indeterminato,"{C,W}",1,1
223,Politano,Diaolo Porco,Diaolo Porco,Napoli,11,Indeterminato,{W},25,1
224,Vandeputte,FC Pontos,FC Pontos,Cremonese,14,Indeterminato,"{W,T}",1,1
225,Gudmundsson A.,Diablitos FC,Diablitos FC,Fiorentina,14,Indeterminato,"{T,A}",72,1
226,Zielinski,FC Pontos,FC Pontos,Inter,14,Indeterminato,"{C,T}",12,1
227,Basic,Svincolato,Svincolato,Lazio,14,Svincolato,{C},0,1
228,Isaksen,Diaolo Porco,Diaolo Porco,Lazio,14,Indeterminato,"{W,A}",1,1
229,Ricci S.,FC Pontos,FC Pontos,Milan,13,Indeterminato,"{M,C}",17,1
230,Volpato,Svincolato,Svincolato,Sassuolo,14,Svincolato,"{W,T}",0,1
231,Felici,Svincolato,Svincolato,Cagliari,13,Svincolato,{W},0,1
232,Thorsby,Svincolato,Svincolato,Genoa,13,Svincolato,"{C,T}",0,1
233,Zalewski,Baby Reijnders,Baby Reijnders,Atalanta,13,Indeterminato,"{E,W}",23,1
234,Sucic P.,Diablitos FC,Diablitos FC,Inter,13,Indeterminato,{C},21,1
235,Thuram K.,Baby Reijnders,Baby Reijnders,Juventus,13,Indeterminato,"{M,C}",20,1
236,Guendouzi,Metodo Monchi FC,Metodo Monchi FC,Lazio,13,Indeterminato,{C},8,1
237,Coulibaly L.,Svincolato,Svincolato,Lecce,13,Svincolato,"{M,C}",0,1
238,Loftus-Cheek,Sborada,Sborada,Milan,13,Indeterminato,"{C,T}",41,1
239,Serdar,Svincolato,Svincolato,Verona,13,Svincolato,{C},0,1
240,Rabiot,AC Ciaccati,AC Ciaccati,Milan,19,Indeterminato,"{C,T}",41,1
