id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita
1,Balentien,Svincolato,Svincolato,Milan,1,Svincolato,{A},0,1
65,Giovane,Sborada,Sborada,Verona,18,Indeterminato,{A},1,1
2,Kouamè,Svincolato,Svincolato,Fiorentina,1,Svincolato,{A},0,1
3,Frigan,Svincolato,Svincolato,Parma,1,Svincolato,{Pc},0,1
4,Skjellerup,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Pc},0,1
5,Moro L.,Svincolato,Svincolato,Sassuolo,2,Svincolato,{Pc},0,1
6,Buffon L.,Svincolato,Svincolato,Pisa,1,Svincolato,{A},0,1
7,Milik,Svincolato,Svincolato,Juventus,1,Svincolato,{Pc},0,1
8,Okereke,Svincolato,Svincolato,Cremonese,2,Svincolato,{A},0,1
9,Pavoletti,Svincolato,Svincolato,Cagliari,1,Svincolato,{Pc},0,1
10,Moumbagna,Svincolato,Svincolato,Cremonese,2,Svincolato,{Pc},0,1
11,Ambrosino,Svincolato,Svincolato,Napoli,2,Svincolato,{Pc},0,1
31,Ekuban,Svincolato,Svincolato,Genoa,10,Svincolato,{A},0,1
32,Ekhator,Svincolato,Svincolato,Genoa,9,Svincolato,{A},0,1
33,Dallinga,CyberDucks,CyberDucks,Bologna,11,Indeterminato,{Pc},24,1
34,Kilicsoy,Diablitos FC,Diablitos FC,Cagliari,9,Primavera,{A},0,1
35,N'Dri,Svincolato,Svincolato,Lecce,11,Svincolato,"{W,A}",0,1
36,Rodriguez Je.,Diablitos FC,Diablitos FC,Como,10,Indeterminato,"{W,A}",0,1
37,Sulemana K.,FC Pontos,FC Pontos,Atalanta,12,Indeterminato,{A},9,1
38,Openda,FC Sovescio,FC Sovescio,Juventus,13,Indeterminato,{Pc},53,1
39,Gimenez,Metodo Monchi FC,Metodo Monchi FC,Milan,12,Indeterminato,{Pc},45,1
40,Banda,FC Pontos,FC Pontos,Lecce,11,Indeterminato,"{W,A}",6,1
41,Noslin,Svincolato,Svincolato,Lazio,12,Svincolato,{A},12,1
42,Vitinha O.,Svincolato,Svincolato,Genoa,12,Svincolato,{Pc},0,1
43,Colombo,FC Sovescio,FC Sovescio,Genoa,9,Indeterminato,{Pc},30,1
44,Fullkrug,Svincolato,Svincolato,Milan,13,Svincolato,{Pc},0,1
45,Dybala,ZeroDayz FC,ZeroDayz FC,Roma,13,Indeterminato,{A},110,1
47,Cancellieri,ZeroDayz FC,ZeroDayz FC,Lazio,13,Indeterminato,"{W,A}",1,1
48,David,Baby Reijnders,Baby Reijnders,Juventus,13,Indeterminato,{Pc},74,1
49,Addai,ZeroDayz FC,ZeroDayz FC,Como,13,Primavera,"{W,A}",0,1
50,Borrelli,Svincolato,Svincolato,Cagliari,13,Svincolato,{Pc},0,1
51,Nkunku,FC Sovescio,FC Sovescio,Milan,14,Indeterminato,{A},53,1
52,Nzola,Svincolato,Svincolato,Pisa,16,Svincolato,{Pc},0,1
53,Bonny,AC Ciaccati,AC Ciaccati,Inter,14,Indeterminato,{Pc},0,1
