id,id_fantacalcio,nome,squadra_fc,id_giocatore,aggiornato_il
5375,5585,Malen,ROM,,2026-09-23 14:16:02.359469+00:00
5376,2764,Martinez L.,INT,,2026-09-23 14:16:02.359469+00:00
5377,4871,Thuram,INT,,2026-09-23 14:16:02.359469+00:00
5378,6875,Paz N.,COM,,2026-09-23 14:16:02.359469+00:00
5379,254,Dimarco,INT,,2026-09-23 14:16:02.359469+00:00
5380,2194,Calhanoglu,INT,,2026-09-23 14:16:02.359469+00:00
5381,6052,Hojlund,NAP,,2026-09-23 14:16:02.359469+00:00
5382,2423,Pulisic,MIL,,2026-09-23 14:16:02.359469+00:00
5383,6397,Ramos G.,MIL,,2026-09-23 14:16:02.359469+00:00
5384,2379,Rabiot,MIL,,2026-09-23 14:16:02.359469+00:00
5385,4777,McTominay,NAP,,2026-09-23 14:16:02.359469+00:00
5386,2167,Orsolini,BOL,,2026-09-23 14:16:02.359469+00:00
5387,2097,Kean,COM,,2026-09-23 14:16:02.359469+00:00
5388,5951,Kolo Muani,JUV,,2026-09-23 14:16:02.359469+00:00
5389,7017,Douvikas,COM,,2026-09-23 14:16:02.359469+00:00
5390,6752,Woltemade,JUV,,2026-09-23 14:16:02.359469+00:00
5391,7126,Baturina,COM,,2026-09-23 14:16:02.359469+00:00
5392,6434,Yildiz,JUV,,2026-09-23 14:16:02.359469+00:00
5393,7556,Mora,ROM,,2026-09-23 14:16:02.359469+00:00
5394,2137,Scamacca,ATA,,2026-09-23 14:16:02.359469+00:00
5395,5841,Svilar,ROM,,2026-09-23 14:16:02.359469+00:00
5396,5637,Davis K.,UDI,,2026-09-23 14:16:02.359469+00:00
5397,1870,Barella,INT,,2026-09-23 14:16:02.359469+00:00
5398,7071,Esposito F.P.,INT,,2026-09-23 14:16:02.359469+00:00
5399,632,Zaccagni,LAZ,,2026-09-23 14:16:02.359469+00:00
5400,4510,Leao,MIL,,2026-09-23 14:16:02.359469+00:00
5401,7181,Wesley,ROM,,2026-09-23 14:16:02.359469+00:00
5402,531,Berardi,SAS,,2026-09-23 14:16:02.359469+00:00
5403,5559,Da Cunha,COM,,2026-09-23 14:16:02.359469+00:00
5404,2788,Bremer,JUV,,2026-09-23 14:16:02.359469+00:00
5405,2517,De Bruyne,NAP,,2026-09-23 14:16:02.359469+00:00
5406,309,Dybala,ROM,,2026-09-23 14:16:02.359469+00:00
5407,4998,Molina N.,ROM,,2026-09-23 14:16:02.359469+00:00
5408,4431,Carnesecchi,ATA,,2026-09-23 14:16:02.359469+00:00
5409,6435,Krstovic,ATA,,2026-09-23 14:16:02.359469+00:00
5410,7023,Pellegrino M.,FIO,,2026-09-23 14:16:02.359469+00:00
5411,5734,Soulè,ROM,,2026-09-23 14:16:02.359469+00:00
5412,6060,Laurientè,SAS,,2026-09-23 14:16:02.359469+00:00
5413,2766,Zaniolo,UDI,,2026-09-23 14:16:02.359469+00:00
5414,4964,Vicario,JUV,,2026-09-23 14:16:02.359469+00:00
5415,5995,De Ketelaere,ATA,,2026-09-23 14:16:02.359469+00:00
5416,6675,Dovbyk,BOL,,2026-09-23 14:16:02.359469+00:00
5417,4973,McKennie,JUV,,2026-09-23 14:16:02.359469+00:00
5418,4312,Maignan,MIL,,2026-09-23 14:16:02.359469+00:00
5419,4409,Rrahmani,NAP,,2026-09-23 14:16:02.359469+00:00
5420,2296,Mancini,ROM,,2026-09-23 14:16:02.359469+00:00
5421,6372,Moreira,MIL,,2026-09-23 14:16:02.359469+00:00
5422,5119,Samardzic,ATA,,2026-09-23 14:16:02.359469+00:00
5423,4371,Raspadori,ATA,,2026-09-23 14:16:02.359469+00:00
5424,4463,Esposito Se.,SAS,,2026-09-23 14:16:02.359469+00:00
5425,6967,Diao,COM,,2026-09-23 14:16:02.359469+00:00
5426,6908,Atta,FIO,,2026-09-23 14:16:02.359469+00:00
5427,5116,Martinez Jo.,INT,,2026-09-23 14:16:02.359469+00:00
5428,4159,Akanji,INT,,2026-09-23 14:16:02.359469+00:00
5429,6884,Conceicao,JUV,,2026-09-23 14:16:02.359469+00:00
5430,5589,Konè M.,ROM,,2026-09-23 14:16:02.359469+00:00
5431,6684,Ekkelenkamp,UDI,,2026-09-23 14:16:02.359469+00:00
5432,7078,Mastantuono,FIO,,2026-09-23 14:16:02.359469+00:00
5433,5792,Ederson D.S.,ATA,,2026-09-23 14:16:02.359469+00:00
5434,4360,Caprile,CAG,,2026-09-23 14:16:02.359469+00:00
5435,6966,Butez,COM,,2026-09-23 14:16:02.359469+00:00
5436,5800,Gudmundsson A.,LAZ,,2026-09-23 14:16:02.359469+00:00
5437,2120,Bastoni,INT,,2026-09-23 14:16:02.359469+00:00
5438,6217,Bisseck,INT,,2026-09-23 14:16:02.359469+00:00
5439,152,Zielinski,INT,,2026-09-23 14:16:02.359469+00:00
5440,4976,Kalulu,JUV,,2026-09-23 14:16:02.359469+00:00
5441,6482,Mandas,LAZ,,2026-09-23 14:16:02.359469+00:00
5442,7314,Taylor K.,LAZ,,2026-09-23 14:16:02.359469+00:00
5443,5833,Gila,MIL,,2026-09-23 14:16:02.359469+00:00
5444,5022,Pavlovic,MIL,,2026-09-23 14:16:02.359469+00:00
5445,4728,Nkunku,MIL,,2026-09-23 14:16:02.359469+00:00
5446,7351,Santos A.,NAP,,2026-09-23 14:16:02.359469+00:00
5447,6572,Castro S.,ROM,,2026-09-23 14:16:02.359469+00:00
5448,2061,Simeone,TOR,,2026-09-23 14:16:02.359469+00:00
5449,7554,Romero D.,PAR,,2026-09-23 14:16:02.359469+00:00
5450,4179,Gonzalez N.,JUV,,2026-09-23 14:16:02.359469+00:00
5451,5694,Beto,FIO,,2026-09-23 14:16:02.359469+00:00
5452,184,Bernardeschi,BOL,,2026-09-23 14:16:02.359469+00:00
5453,6869,Ramon,COM,,2026-09-23 14:16:02.359469+00:00
5454,1933,Mandragora,TOR,,2026-09-23 14:16:02.359469+00:00
5455,5436,Raimondo,FRO,,2026-09-23 14:16:02.359469+00:00
5456,2848,Frattesi,LAZ,,2026-09-23 14:16:02.359469+00:00
5457,2606,Modric,MIL,,2026-09-23 14:16:02.359469+00:00
5458,2816,Di Lorenzo,NAP,,2026-09-23 14:16:02.359469+00:00
5459,4807,Hermoso,ROM,,2026-09-23 14:16:02.359469+00:00
5460,7347,Bowie,SAS,,2026-09-23 14:16:02.359469+00:00
5461,6956,Solet,UDI,,2026-09-23 14:16:02.359469+00:00
5462,7484,Adams A.,VEN,,2026-09-23 14:16:02.359469+00:00
5463,5172,Jones C.,INT,,2026-09-23 14:16:02.359469+00:00
5464,4896,Maldini,CAG,,2026-09-23 14:16:02.359469+00:00
5465,6151,Perrone,COM,,2026-09-23 14:16:02.359469+00:00
5466,7129,Rodriguez Je.,COM,,2026-09-23 14:16:02.359469+00:00
5467,7472,Calò,FRO,,2026-09-23 14:16:02.359469+00:00
5468,6530,Ghedjemis,FRO,,2026-09-23 14:16:02.359469+00:00
5469,6204,Kvernadze,FRO,,2026-09-23 14:16:02.359469+00:00
5470,2514,Stones,INT,,2026-09-23 14:16:02.359469+00:00
5471,6274,Diouf,INT,,2026-09-23 14:16:02.359469+00:00
5472,7436,Alajbegovic,JUV,,2026-09-23 14:16:02.359469+00:00
5473,5500,Cancellieri,LAZ,,2026-09-23 14:16:02.359469+00:00
5474,4892,Saelemaekers,MIL,,2026-09-23 14:16:02.359469+00:00
5475,4287,Lobotka,NAP,,2026-09-23 14:16:02.359469+00:00
5476,536,Politano,NAP,,2026-09-23 14:16:02.359469+00:00
5477,4317,N'Dicka,ROM,,2026-09-23 14:16:02.359469+00:00
5478,779,Cristante,ROM,,2026-09-23 14:16:02.359469+00:00
5479,6677,Adzic,SAS,,2026-09-23 14:16:02.359469+00:00
5480,5687,Vlasic,TOR,,2026-09-23 14:16:02.359469+00:00
5481,6646,Adams C.,TOR,,2026-09-23 14:16:02.359469+00:00
