squadra,modulo,slot,aggiornata_il
ZeroDayz FC,4-2-3-1,"[{'ris': 520, 'ter': 476, 'tit': 527}, {'ris': 397, 'ter': 363, 'tit': 412}, {'ris': 954, 'ter': 354, 'tit': 429}, {'ris': 401, 'ter': 721, 'tit': 1037}, {'ris': 373, 'ter': None, 'tit': 947}, {'ris': 196, 'ter': None, 'tit': 184}, {'ris': 219, 'ter': 203, 'tit': 194}, {'ris': 257, 'ter': None, 'tit': 250}, {'ris': 136, 'ter': 775, 'tit': 189}, {'ris': 68, 'ter': None, 'tit': 45}, {'ris': 67, 'ter': None, 'tit': 85}]",2026-09-22 22:26:25.100127+00:00
Sborada,3-4-1-2,"[{'ris': 878, 'ter': 469, 'tit': 515}, {'ris': 948, 'ter': 337, 'tit': 439}, {'ris': 349, 'ter': None, 'tit': 911}, {'ris': 307, 'ter': None, 'tit': 1036}, {'ris': 461, 'ter': 923, 'tit': 105}, {'ris': 226, 'ter': 185, 'tit': 253}, {'ris': 986, 'ter': 125, 'tit': 174}, {'ris': 369, 'ter': None, 'tit': 774}, {'ris': 754, 'ter': 256, 'tit': 244}, {'ris': 58, 'ter': 888, 'tit': 872}, {'ris': 1000, 'ter': 1040, 'tit': 63}]",2026-09-22 22:37:55.295694+00:00
Diablitos FC,4-2-3-1,"[{'ris': [945, 496], 'tit': 524}, {'ris': [990], 'tit': 603}, {'ris': [338, 362], 'tit': 406}, {'ris': [404, 390], 'tit': 434}, {'ris': [], 'tit': 440}, {'ris': [161, 169], 'tit': 267}, {'ris': [231, 247], 'tit': 215}, {'ris': [36, 199], 'tit': 176}, {'ris': [151, 182], 'tit': 269}, {'ris': [], 'tit': 86}, {'ris': [81], 'tit': 795}]",2026-09-23 13:38:40.140792+00:00
