id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita
936,Amey,Svincolato,Svincolato,Frosinone,1,Svincolato,{Dc},0,1
1023,Grabara,Svincolato,Svincolato,Juventus,1,Svincolato,{Por},0,1
1019,Osmajic,Svincolato,Svincolato,Genoa,7,Svincolato,{Pc},0,1
1037,Theate,Svincolato,Svincolato,Bologna,9,Svincolato,"{Ds,Dc}",0,1
929,Franjic,Svincolato,Svincolato,Venezia,3,Svincolato,"{B,Ds,E}",0,1
915,Akpoguma,Svincolato,Svincolato,Frosinone,3,Svincolato,{Dc},0,1
931,Antov,Svincolato,Svincolato,Monza,1,Svincolato,{Dc},0,1
1025,Foe Ondoa,Svincolato,Svincolato,Monza,2,Svincolato,{C},0,1
993,Chalobah T.,Diaolo Porco,Diaolo Porco,Como,11,Indeterminato,"{Dd,Dc}",33,1
914,Correia T.,Svincolato,Svincolato,Venezia,5,Svincolato,"{Dd,Ds,E}",0,1
1034,Perri,Svincolato,Svincolato,Torino,9,Svincolato,{Por},0,1
1028,Birligea,Svincolato,Svincolato,Frosinone,5,Svincolato,{Pc},0,1
913,Halhal,Svincolato,Svincolato,Venezia,3,Svincolato,{Dc},0,1
930,Bakoune,Svincolato,Svincolato,Monza,2,Svincolato,"{Dd,E}",0,1
935,Gelli J.,Svincolato,Svincolato,Frosinone,1,Svincolato,{Dc},0,0
1018,Badiashile,Svincolato,Svincolato,Napoli,7,Svincolato,{Dc},0,1
1021,Maye,Svincolato,Svincolato,Monza,1,Svincolato,"{Ds,Dc}",0,1
1029,Bobcek,Svincolato,Svincolato,Frosinone,9,Svincolato,{Pc},0,1
923,Mitaj,Sborada,Sborada,Genoa,4,Indeterminato,"{Ds,E}",1,1
927,Puczka,Svincolato,Svincolato,Genoa,2,Svincolato,"{Ds,E}",0,1
1033,Kessiè,Svincolato,Svincolato,Atalanta,12,Svincolato,{C},0,1
916,Cittadini,Svincolato,Svincolato,Frosinone,4,Svincolato,{Dc},0,1
933,Corrado,Svincolato,Svincolato,Frosinone,1,Svincolato,"{Ds,E}",0,0
912,Comert,Svincolato,Svincolato,Torino,4,Svincolato,{Dc},0,1
997,Schmid,Svincolato,Svincolato,Frosinone,8,Svincolato,"{W,T}",0,1
921,Pedraza,Svincolato,Svincolato,Lazio,6,Svincolato,"{Ds,E}",0,1
1038,Massolin,Svincolato,Svincolato,Cagliari,4,Svincolato,"{C,T}",0,1
1035,Drobnic,Svincolato,Svincolato,Parma,2,Svincolato,{Dc},0,1
1027,Fatah,Svincolato,Svincolato,Lecce,5,Svincolato,"{W,A}",0,1
1056,Braganca,Svincolato,Svincolato,Torino,6,Svincolato,{C},0,1
928,Diawara S.,Svincolato,Svincolato,Milan,2,Svincolato,"{Ds,Dc}",0,1
924,Calvani,Svincolato,Svincolato,Frosinone,5,Svincolato,{Dc},0,1
1022,Tchato,Svincolato,Svincolato,Frosinone,3,Svincolato,"{Dd,E}",0,1
1020,Lulli,Svincolato,Svincolato,Roma,2,Svincolato,{E},0,1
1046,Sugawara,Svincolato,Svincolato,Cagliari,6,Svincolato,"{Dd,E}",0,1
1032,Ciervo,Svincolato,Svincolato,Cagliari,1,Svincolato,{W},0,1
337,Vitik,ZeroDayz FC,ZeroDayz FC,Bologna,4,Indeterminato,{Dc},24,1
922,Delli Carri,Svincolato,Svincolato,Monza,4,Svincolato,{Dc},0,0
1026,Kambwala,Svincolato,Svincolato,Como,4,Svincolato,"{Dd,Dc}",0,1
1013,Comotto,Svincolato,Svincolato,Milan,1,Svincolato,"{M,C}",0,1
1042,Jovanovic,Svincolato,Svincolato,Udinese,2,Svincolato,"{W,T}",0,1
1015,Jones C.,Metodo Monchi FC,Metodo Monchi FC,Inter,12,Indeterminato,{C},37,1
1044,Ghidotti,Svincolato,Svincolato,Parma,1,Svincolato,{Por},0,1
1040,Hutchinson,Svincolato,Svincolato,Milan,7,Svincolato,"{W,A}",0,1
925,Gomes,Svincolato,Svincolato,Venezia,1,Svincolato,"{Ds,Dc}",0,1
934,Oyono J.,Svincolato,Svincolato,Frosinone,1,Svincolato,"{Dd,E}",0,0
1030,Macchioni,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Dc},0,0
1024,Mout,Svincolato,Svincolato,Monza,1,Svincolato,{C},0,1
1002,Spence,FC Pontos,FC Pontos,Inter,10,Indeterminato,{E},63,1
917,Alhassane,Svincolato,Svincolato,Bologna,2,Svincolato,"{Ds,E}",0,1
1016,Leysen F.,Svincolato,Svincolato,Sassuolo,7,Svincolato,"{Ds,Dc}",0,1
1012,Laerke,Svincolato,Svincolato,Lecce,1,Svincolato,"{W,A}",0,1
992,Mastantuono,Svincolato,Svincolato,Fiorentina,11,Svincolato,"{W,T}",0,1
989,Sow,Svincolato,Svincolato,Genoa,8,Svincolato,"{M,C}",0,1
1017,Sutalo J.,Svincolato,Svincolato,Lazio,7,Svincolato,{Dc},0,1
996,Grillitsch,Svincolato,Svincolato,Frosinone,4,Svincolato,"{M,C}",0,1
1039,Monteiro J.,Svincolato,Svincolato,Lecce,6,Svincolato,"{W,A}",0,1
1036,Balerdi,Svincolato,Svincolato,Roma,6,Svincolato,{Dc},0,1
663,Smalling,Svincolato,Svincolato,Roma,0,Svincolato,{Dc},0,0
926,Alajbegovic,Svincolato,Svincolato,Juventus,11,Svincolato,"{W,T}",0,1
918,Kofler,Svincolato,Svincolato,Cagliari,5,Svincolato,{Dc},0,1
552,Sverko,Svincolato,Svincolato,Venezia,3,Svincolato,"{Ds,Dc}",0,1
952,Valdepenas,Svincolato,Svincolato,Fiorentina,6,Svincolato,"{Ds,Dc}",0,1
1041,Caleta-Car,Svincolato,Svincolato,Sassuolo,6,Svincolato,{Dc},0,1
384,Kristensen T.,CyberDucks,CyberDucks,Atalanta,7,Indeterminato,"{Dd,Dc}",2,1
423,Kossounou,Al-Colizzati,Al-Colizzati,Atalanta,4,Indeterminato,"{Dd,Dc}",11,1
1047,Patterson,Svincolato,Svincolato,Torino,5,Svincolato,"{Dd,E}",0,1
268,Paz N.,FC Sovescio,FC Sovescio,Como,27,Indeterminato,"{T,A}",0,1
1045,Zeballos,Svincolato,Svincolato,Monza,6,Svincolato,{A},0,1
954,Koulierakis,ZeroDayz FC,ZeroDayz FC,Roma,8,Indeterminato,{Dc},18,1
939,Strajnar,Svincolato,Svincolato,Monza,1,Svincolato,{Por},0,1
416,Delprato,Metodo Monchi FC,Metodo Monchi FC,Parma,8,Indeterminato,"{B,Dd,E}",0,1
948,Doekhi,Sborada,Sborada,Lazio,8,Indeterminato,{Dc},15,1
938,Renzetti,Svincolato,Svincolato,Lazio,1,Svincolato,{Por},0,1
412,Zappacosta,ZeroDayz FC,ZeroDayz FC,Atalanta,8,Indeterminato,"{Dd,E}",5,1
998,Molina N.,Diaolo Porco,Diaolo Porco,Roma,18,Indeterminato,{E},37,1
908,Ramos G.,Metodo Monchi FC,Metodo Monchi FC,Milan,27,Indeterminato,{Pc},111,1
1043,Sarr P.,Svincolato,Svincolato,Juventus,8,Svincolato,"{M,C}",0,1
260,Zambo Anguissa,FC Pontos,FC Pontos,Napoli,10,Indeterminato,{C},27,1
1031,Mrozek,Svincolato,Svincolato,Udinese,1,Svincolato,{Por},0,1
1003,Pisseri,Svincolato,Svincolato,Frosinone,1,Svincolato,{Por},0,1
940,Pozzi,Svincolato,Svincolato,Venezia,1,Svincolato,{Por},0,1
1048,Goncalves P.,Svincolato,Svincolato,Fiorentina,12,Svincolato,"{W,T}",0,1
835,Grandi,Svincolato,Svincolato,Venezia,1,Svincolato,{Por},0,1
949,Mangas,CyberDucks,CyberDucks,Monza,7,Indeterminato,"{Ds,E}",1,1
919,Bracaglia,Svincolato,Svincolato,Frosinone,7,Svincolato,"{Ds,Dc}",0,1
417,Circati,Svincolato,Svincolato,Parma,6,Svincolato,{Dc},0,0
950,Monterisi,Al-Colizzati,Al-Colizzati,Frosinone,6,Indeterminato,{Dc},1,1
951,Viery,Svincolato,Svincolato,Fiorentina,7,Svincolato,"{Ds,Dc}",0,1
947,Kaiki,ZeroDayz FC,ZeroDayz FC,Como,6,Indeterminato,"{Ds,E}",22,1
920,Oyono A.,Svincolato,Svincolato,Frosinone,6,Svincolato,"{Dd,E}",0,1
398,Hien,CyberDucks,CyberDucks,Atalanta,7,Indeterminato,{Dc},5,1
953,Stones,FC Pontos,FC Pontos,Inter,12,Indeterminato,{Dc},30,1
990,Couto,Diablitos FC,Diablitos FC,Como,8,Indeterminato,"{Dd,E}",31,1
261,Modric,FC Sovescio,FC Sovescio,Milan,13,Indeterminato,"{M,C}",9,1
1049,Drameh,Svincolato,Svincolato,Genoa,4,Svincolato,"{Dd,Ds,E}",0,1
1014,Cinquegrano,Svincolato,Svincolato,Sassuolo,2,Svincolato,"{Dd,E}",0,1
994,Aurelio,Svincolato,Svincolato,Cagliari,2,Svincolato,"{Ds,E}",0,1
941,Mascardi,Svincolato,Svincolato,Torino,1,Svincolato,{Por},0,1
759,Russo A.,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Por},0,1
553,De Marzi,Svincolato,Svincolato,Roma,1,Svincolato,{Por},0,1
386,Walukiewicz,FC Sovescio,FC Sovescio,Sassuolo,4,Indeterminato,"{Dd,Dc}",5,1
275,Siebert,Svincolato,Svincolato,Lecce,4,Svincolato,{Dc},0,1
280,Ebosse,Svincolato,Svincolato,Udinese,3,Svincolato,"{Ds,Dc}",0,1
873,Helland,Svincolato,Svincolato,Bologna,3,Svincolato,"{Dd,Dc}",0,1
353,Smolcic I.,Svincolato,Svincolato,Como,4,Svincolato,"{Dd,E}",0,1
338,Rodriguez Ju.,Svincolato,Svincolato,Cagliari,5,Svincolato,"{Ds,Dc}",0,1
1051,Woltemade,Svincolato,Svincolato,Juventus,23,Svincolato,{A},0,1
1053,Fernandez T.,Svincolato,Svincolato,Venezia,2,Svincolato,"{T,A}",0,1
956,El Azzouzi O.,Svincolato,Svincolato,Bologna,2,Svincolato,"{M,C}",0,1
957,Chakvetadze,Svincolato,Svincolato,Udinese,2,Svincolato,"{W,T}",0,1
896,Lahdo,Svincolato,Svincolato,Como,1,Svincolato,"{C,T}",0,1
