id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita
1,Milik,Svincolato,Svincolato,Juventus,1,Svincolato,{Pc},0,1
2,Buffon L.,Svincolato,Svincolato,Pisa,1,Svincolato,{A},0,1
3,Skjellerup,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Pc},0,1
4,Frigan,Svincolato,Svincolato,Parma,1,Svincolato,{Pc},0,1
5,Balentien,Svincolato,Svincolato,Milan,1,Svincolato,{A},0,1
6,Gueye,ZeroDayz FC,ZeroDayz FC,Udinese,1,Primavera,{Pc},0,1
7,Ngonge,Baby Reijnders,Baby Reijnders,Torino,10,Indeterminato,{A},3,1
8,Buksa,Svincolato,Svincolato,Udinese,10,Svincolato,{Pc},0,1
9,Ekhator,Svincolato,Svincolato,Genoa,9,Svincolato,{A},0,1
10,Benedyczak,Svincolato,Svincolato,Parma,9,Svincolato,{A},0,1
11,Mosquera,Svincolato,Svincolato,Verona,9,Svincolato,{Pc},0,1
12,Kilicsoy,Diablitos FC,Diablitos FC,Cagliari,9,Primavera,{A},0,1
13,Belotti,FC Pontos,FC Pontos,Cagliari,9,Indeterminato,{Pc},0,1
14,Cutrone,CyberDucks,CyberDucks,Parma,8,Indeterminato,{Pc},0,1
15,Zapata D.,Sborada,Sborada,Torino,8,Indeterminato,{Pc},53,1
16,Camarda,Diablitos FC,Diablitos FC,Lecce,6,Primavera,{Pc},0,1
17,Lucca,Diablitos FC,Diablitos FC,Napoli,7,Indeterminato,{Pc},16,1
18,Morata,Baby Reijnders,Baby Reijnders,Como,6,Indeterminato,{Pc},0,1
19,Stulic,Svincolato,Svincolato,Lecce,6,Svincolato,{Pc},0,1
20,Kuhn,Diaolo Porco,Diaolo Porco,Como,5,Indeterminato,"{W,A}",27,1
21,Pedro,Svincolato,Svincolato,Lazio,5,Svincolato,{A},0,1
22,Meister,Svincolato,Svincolato,Pisa,5,Svincolato,{Pc},0,1
23,Njie,Svincolato,Svincolato,Torino,5,Svincolato,{A},0,1
24,Sarr A.,Svincolato,Svincolato,Verona,5,Svincolato,{A},0,1
25,Piccoli,CyberDucks,CyberDucks,Fiorentina,7,Indeterminato,{Pc},0,1
