id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita
50,Borrelli,Svincolato,Svincolato,Cagliari,13,Svincolato,{Pc},0,1
44,Fullkrug,Svincolato,Svincolato,Milan,13,Svincolato,{Pc},0,1
34,Kilicsoy,Diablitos FC,Diablitos FC,Cagliari,16,Primavera,{A},0,1
897,Bakola,Svincolato,Svincolato,Sassuolo,3,Svincolato,"{C,T}",0,1
896,Lahdo,Svincolato,Svincolato,Como,2,Svincolato,"{C,T}",0,1
879,Zatterstrom,Svincolato,Svincolato,Genoa,3,Svincolato,{Dc},0,1
335,Lykogiannis,Svincolato,Svincolato,Bologna,2,Svincolato,"{Ds,E}",0,1
305,Faye,Svincolato,Svincolato,Cremonese,2,Svincolato,{Dc},0,1
304,Coulibaly W.,Svincolato,Svincolato,Sassuolo,2,Svincolato,"{Dd,Ds,E}",0,1
870,Bozhinov,Svincolato,Svincolato,Pisa,2,Svincolato,{Dc},0,1
337,Vitik,ZeroDayz FC,ZeroDayz FC,Bologna,4,Indeterminato,{Dc},24,1
874,Lirola,Svincolato,Svincolato,Verona,4,Svincolato,"{B,Dd,E}",0,1
417,Circati,AC Ciaccati,AC Ciaccati,Parma,9,Indeterminato,{Dc},0,1
416,Delprato,Metodo Monchi FC,Sborada,Parma,8,Fanta-Prestito,"{B,Dd,E}",0,1
414,Angori,FC Pontos,FC Pontos,Pisa,9,Indeterminato,"{Ds,E}",1,1
398,Hien,CyberDucks,CyberDucks,Atalanta,7,Indeterminato,{Dc},5,1
423,Kossounou,Baby Reijnders,Baby Reijnders,Atalanta,7,Indeterminato,"{Dd,Dc}",11,1
412,Zappacosta,ZeroDayz FC,ZeroDayz FC,Atalanta,10,Indeterminato,{E},5,1
756,Bellemo,Svincolato,Svincolato,Como,0,Svincolato,"{M,C}",0,0
707,Cassandro,Svincolato,Svincolato,Como,0,Svincolato,"{Dd,Ds,E}",0,0
