id,evento,data,stagione
311, 📢 PRESTITO UFFICIALE:  👤 Delprato  🔴 Da: Sborada 🟢 A: Metodo Monchi FC 📅 Scadenza: 30/06/2026 12:00 🧾 Tipo: Con diritto di riscatto 💸 Costo prestito: 2 🪙 Riscatto: 4 📝 Note: Nessuna nota. ,2026-01-25,25-26
313, 🏷️ ASTA: Malinovskyi La squadra Metodo Monchi FC ha iniziato un'asta! 📆 Hai tempo per iscriverti fino a: 27/01/2026 11:59. ,2026-01-26,25-26
314, 📢 SCAMBIO UFFICIALE: 🔥 Le squadreMetodo Monchi FC e Sborada hanno trovato concluso un scambio:  ✅ **Metodo Monchi FC** riceve: ⚽ Giovane (+🪙 0 cr.)  ✅ **Sborada** riceve: ⚽ [] (+🪙 20 cr.)  📝 Condizioni/Bonus: Nessuna Condizione. ,2026-01-26,25-26
315, ✂️ COMUNICAZIONE UFFICIALE:  La squadra FC Sovescio svincola il giocatore Sava pagando 1 crediti. ,2026-01-27,25-26
316, 🏷️ ASTA: Paleari La squadra FC Sovescio ha iniziato un'asta! 📆 Hai tempo per iscriverti fino a: 28/01/2026 12:28. ,2026-01-27,25-26
317, 🏷️ ASTA: Douvikas La squadra AC Ciaccati ha iniziato un'asta! 📆 Hai tempo per iscriverti fino a: 28/01/2026 14:50. ,2026-01-27,25-26
318, 🏷️ ASTA: Davis K. La squadra AC Ciaccati ha iniziato un'asta! 📆 Hai tempo per iscriverti fino a: 28/01/2026 14:50. ,2026-01-27,25-26
319, 📢 COMUNICAZIONE UFFICIALE:  📝La squadra AC Ciaccati svincola Bailey a causa del suo trasferimento/svincolo e recupera 0 crediti.  ,2026-01-27,25-26
320, 📢 COMUNICAZIONE UFFICIALE:  📝La squadra Diaolo Porco svincola Dzeko a causa del suo trasferimento/svincolo e recupera 0 crediti.  ,2026-01-28,25-26
321, 📢 COMUNICAZIONE UFFICIALE:  La squadra Diablitos FC acquista il Malinovskyi per 6 crediti. ,2026-01-28,25-26
322,"📢 COMUNICAZIONE UFFICIALE:  La squadra FC Sovescio acquista il giocatore Paleari per 1 crediti.",2026-01-28,25-26
323, 🏷️ ASTA: Pobega La squadra Metodo Monchi FC ha iniziato un'asta! 📆 Hai tempo per iscriverti fino a: 29/01/2026 19:37. ,2026-01-28,25-26
324, 🏷️ ASTA: Bijlow La squadra Sborada ha iniziato un'asta! 📆 Hai tempo per iscriverti fino a: 29/01/2026 22:26. ,2026-01-28,25-26
325, 🏷️ ASTA: Vergara La squadra AC Ciaccati ha iniziato un'asta! 📆 Hai tempo per iscriverti fino a: 30/01/2026 13:26. ,2026-01-29,25-26
326, ✂️ COMUNICAZIONE UFFICIALE:  La squadra FC Sovescio svincola il giocatore Schuurs pagando 1 crediti. ,2026-01-29,25-26
327, 🆙 COMUNICAZIONE UFFICIALE:  La squadra FC Sovescio promuove in prima squadra il giocatore Bartesaghi ,2026-01-29,25-26
328, 📢 COMUNICAZIONE UFFICIALE:  La squadra Metodo Monchi FC acquista il giocatore Pobega per 1 crediti. ,2026-01-29,25-26
329, 📢 COMUNICAZIONE UFFICIALE:  La squadra Sborada acquista il giocatore Bijlow per 1 crediti. ,2026-01-29,25-26
330,"📢 COMUNICAZIONE UFFICIALE:  AC Ciaccati riceve 2 crediti per la cessione in prestito di D. Luiz all'Aston Villa",2026-01-30,25-26
